epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.78439,1.14449,2.25767,1.51033,0.86711,0.92401,0.94397,0.72564,1.27009,0.86096,1.18401,0,0,0
2,3.46004,0.94267,2.44169,1.26764,0.82065,0.92057,0.94365,0.72571,1.27062,0.86341,1.1843,1.15073e-06,1.15073e-06,1.15073e-06
3,5.13491,1.10036,3.75281,1.47401,0.81861,0.91319,0.94339,0.72522,1.2761,0.86276,1.18632,2.22292e-06,2.22292e-06,2.22292e-06
4,6.69416,1.04853,2.2095,1.25942,0.82324,0.90879,0.94532,0.7084,1.27996,0.8682,1.18685,3.21657e-06,3.21657e-06,3.21657e-06
5,8.4749,1.1509,2.15273,1.5317,0.86221,0.93102,0.94529,0.70827,1.28096,0.86885,1.18601,4.13168e-06,4.13168e-06,4.13168e-06
6,10.0391,1.35317,3.995,1.68582,0.85725,0.93333,0.9466,0.69989,1.28246,0.87924,1.18694,4.96825e-06,4.96825e-06,4.96825e-06
7,11.6171,0.94914,1.65875,1.26603,0.80243,0.92046,0.94467,0.70159,1.28378,0.90074,1.18834,5.72628e-06,5.72628e-06,5.72628e-06
8,13.0438,1.02704,2.50673,1.31332,0.79251,0.91264,0.94601,0.69557,1.28712,0.90326,1.18717,6.40577e-06,6.40577e-06,6.40577e-06
9,14.7037,0.83781,1.92308,1.22948,0.78724,0.90699,0.95197,0.69933,1.29101,0.90505,1.18749,7.00672e-06,7.00672e-06,7.00672e-06
10,16.2541,1.02777,2.43958,1.44661,0.77415,0.90371,0.95188,0.69899,1.28987,0.92311,1.18926,7.52913e-06,7.52913e-06,7.52913e-06
11,17.8042,1.11618,2.07476,1.39206,0.78877,0.88478,0.95207,0.69239,1.28524,0.93676,1.18759,7.973e-06,7.973e-06,7.973e-06
12,19.4223,1.02236,1.7611,1.38908,0.79111,0.88144,0.95271,0.68749,1.28119,0.93918,1.18791,8.33833e-06,8.33833e-06,8.33833e-06
13,21.0809,0.8619,1.77725,1.14433,0.79634,0.87208,0.95342,0.6883,1.28453,0.94375,1.19247,8.62512e-06,8.62512e-06,8.62512e-06
14,22.6257,1.19048,1.46003,1.5789,0.84436,0.87536,0.95417,0.68477,1.29039,0.94735,1.19463,8.83337e-06,8.83337e-06,8.83337e-06
15,24.1224,0.68282,1.01079,1.03106,0.84947,0.86635,0.95206,0.68411,1.29652,0.95613,1.19742,8.96308e-06,8.96308e-06,8.96308e-06
16,25.6388,0.98386,1.74583,1.48646,0.85147,0.86588,0.95289,0.67828,1.30314,0.95711,1.20131,9.01425e-06,9.01425e-06,9.01425e-06
17,27.1467,0.70494,1.07428,1.11562,0.84356,0.86563,0.95288,0.67417,1.31512,0.96813,1.20774,8.98688e-06,8.98688e-06,8.98688e-06
18,28.6449,0.96362,0.98305,1.28908,0.84356,0.86563,0.95288,0.67417,1.31512,0.96813,1.20774,8.88097e-06,8.88097e-06,8.88097e-06
19,29.9673,0.95863,1.23058,1.20244,0.80929,0.85,0.92606,0.67401,1.35062,0.9959,1.22628,8.69652e-06,8.69652e-06,8.69652e-06
20,31.3677,0.90496,1.02343,1.26713,0.80929,0.85,0.92606,0.67401,1.35062,0.9959,1.22628,8.43353e-06,8.43353e-06,8.43353e-06
21,32.7422,0.64843,0.67147,1.03108,0.78932,0.85,0.92423,0.66745,1.36393,1.02121,1.23504,8.092e-06,8.092e-06,8.092e-06
22,34.1216,0.60394,0.69489,1.0289,0.78932,0.85,0.92423,0.66745,1.36393,1.02121,1.23504,7.67193e-06,7.67193e-06,7.67193e-06
23,35.5019,0.8924,1.03908,1.34466,0.75576,0.85,0.87789,0.68211,1.34553,1.05094,1.22762,7.17332e-06,7.17332e-06,7.17332e-06
24,36.9991,0.63563,0.78576,0.97439,0.75576,0.85,0.87789,0.68211,1.34553,1.05094,1.22762,6.59617e-06,6.59617e-06,6.59617e-06
25,38.6752,0.59586,0.8506,0.97307,0.70115,0.85,0.86974,0.67089,1.32978,1.09889,1.2387,5.94048e-06,5.94048e-06,5.94048e-06
26,40.1289,0.62393,0.75304,1.04702,0.70115,0.85,0.86974,0.67089,1.32978,1.09889,1.2387,5.20625e-06,5.20625e-06,5.20625e-06
27,41.5338,0.54131,0.77385,0.92333,0.74081,0.85,0.8674,0.67126,1.33218,1.14085,1.24586,4.39348e-06,4.39348e-06,4.39348e-06
28,42.8912,0.56023,0.57975,0.94907,0.74081,0.85,0.8674,0.67126,1.33218,1.14085,1.24586,3.50217e-06,3.50217e-06,3.50217e-06
29,44.2909,0.70222,0.98279,1.23387,0.747,0.85,0.86493,0.67004,1.34877,1.1775,1.26829,2.53232e-06,2.53232e-06,2.53232e-06
30,45.6733,0.51144,1.06796,1.02606,0.747,0.85,0.86493,0.67004,1.34877,1.1775,1.26829,1.48393e-06,1.48393e-06,1.48393e-06
